location	date	leadtime	lat	lon	alt	fcst2	fcst3	fcst	obs	elaf	deltaT	lafNN
17000	20151225	12.0	59.1513	10.8288	10.0	5.710602	6.5777893	6.4518127	6.3	0.32	-0.8671875	0.15
17000	20151226	12.0	59.1513	10.8288	10.0	0.42236328	1.8520508	1.3549805	0.4	1.0	-1.4296875	0.35
17000	20151227	12.0	59.1513	10.8288	10.0	-1.7063293	-0.14285278	-0.64089966	-1.4	0.8	-1.5634765625	0.32
17000	20151228	12.0	59.1513	10.8288	10.0	-1.0209045	0.98202515	-0.21524048	-0.2	0.59	-2.0029296875	0.6
17000	20151229	12.0	59.1513	10.8288	10.0	-1.2807922	0.013153076	-0.23098755	0.3	0.0	-1.2939453125	0.19
17000	20151230	12.0	59.1513	10.8288	10.0	2.6766663	3.9198303	3.6669006	4.8	0.0	-1.2431640625	0.2
17000	20151231	12.0	59.1513	10.8288	10.0	0.39419556	1.214508	1.1920471	2.4	0.0	-0.8203125	0.03
17090	20141201	12.0	59.3503	10.897	50.0	-1.153595	-0.49295044	-1.153595	-0.5	0.01	-0.66064453125	1.0
17090	20141202	12.0	59.3503	10.897	50.0	-0.025146484	0.12133789	-0.025146484	-0.2	1.0	-0.146484375	1.0
17090	20141203	12.0	59.3503	10.897	50.0	0.49624634	0.40933228	0.49624634	1.1	1.0	0.0869140625	1.0
17090	20141204	12.0	59.3503	10.897	50.0	2.537506	3.0941467	2.537506	3.6	0.0	-0.556640625	1.0
17090	20141205	12.0	59.3503	10.897	50.0	0.70199585	0.9764099	0.70199585	-0.2	1.0	-0.2744140625	1.0
17090	20141206	12.0	59.3503	10.897	50.0	-1.2195435	-1.6043091	-1.2195435	0.0	1.0	0.384765625	1.0
17090	20141207	12.0	59.3503	10.897	50.0	7.158844	6.950836	7.158844	7.2	1.0	0.2080078125	1.0
17090	20141208	12.0	59.3503	10.897	50.0	1.3013611	1.9190369	1.3013611	2.6	0.0	-0.61767578125	1.0
17090	20141210	12.0	59.3503	10.897	50.0	4.0971985	4.1704407	4.0971985	3.5	1.0	-0.0732421875	1.0
17090	20141211	12.0	59.3503	10.897	50.0	3.894806	4.1526184	3.894806	1.1	1.0	-0.2578125	1.0
17090	20141212	12.0	59.3503	10.897	50.0	3.7348328	3.7392273	3.7348328	2.7	1.0	-0.00439453125	1.0
17090	20141213	12.0	59.3503	10.897	50.0	0.5052185	0.8020935	0.5052185	0.8	0.01	-0.296875	1.0
17090	20141214	12.0	59.3503	10.897	50.0	4.9701233	5.17276	4.9701233	5.1	0.36	-0.20263671875	1.0
17090	20141215	12.0	59.3503	10.897	50.0	4.2409363	4.4513855	4.2409363	3.7	1.0	-0.21044921875	1.0
17090	20141216	12.0	59.3503	10.897	50.0	1.4702759	1.8652954	1.4702759	1.5	0.92	-0.39501953125	1.0
17090	20141217	12.0	59.3503	10.897	50.0	-3.9847717	-2.933014	-3.9847717	-3.6	0.63	-1.0517578125	1.0
17090	20141219	12.0	59.3503	10.897	50.0	2.6394958	2.790863	2.6394958	2.3	1.0	-0.1513671875	1.0
17090	20141220	12.0	59.3503	10.897	50.0	-0.106414795	-0.03805542	-0.106414795	-0.2	1.0	-0.068359375	1.0
17090	20151201	12.0	59.3503	10.897	50.0	2.1356506	3.306549	2.1356506	5.7	0.0	-1.1708984375	1.0
17090	20151202	12.0	59.3503	10.897	50.0	3.720459	3.8381348	3.720459	4.0	0.0	-0.11767578125	1.0
17090	20151203	12.0	59.3503	10.897	50.0	3.1055908	3.769165	3.1055908	4.2	0.0	-0.66357421875	1.0
